"","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4","FROM"
"ITUB4","41.65","20.49","10.97"," 9.48"," 9.54"," 2.86"," 5.00","58.35"
"BBDC4","21.55","42.83","10.54","10.58"," 7.35"," 3.07"," 4.08","57.17"
"BBAS3","15.25","12.92","47.33"," 9.25"," 7.41"," 3.76"," 4.07","52.67"
"SANB11","13.98","13.25"," 9.06","50.41"," 6.74"," 3.60"," 2.97","49.59"
"BPAC11","13.57","10.02"," 7.87"," 5.91","55.70"," 1.69"," 5.24","44.30"
"BRSR6"," 8.13"," 6.69"," 6.22"," 5.42"," 3.27","66.87"," 3.40","33.13"
"ABCB4"," 9.89"," 7.27"," 5.89"," 4.35"," 8.37"," 2.29","61.93","38.07"
"TO"," 82.38"," 70.63"," 50.54"," 45.00"," 42.69"," 17.28"," 24.76","333.27"
"Inc.Own","124.02","113.46"," 97.88"," 95.41"," 98.39"," 84.15"," 86.69","cTCI/TCI"
"NET"," 24.02"," 13.46"," -2.12"," -4.59"," -1.61","-15.85","-13.31","55.55/47.61"
"NPT","6.00","5.00","3.00","3.00","3.00","0.00","1.00",""
