"banco","data","retorno","z_score","n_bancos_na_data","classificacao"
"ITUB4",2020-03-12,-10.34,-5.73,7,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ITUB4",2020-03-13,10.49,5.76,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ITUB4",2020-03-16,-9.65,-5.35,7,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ITUB4",2020-03-24,9.21,5.05,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2020-03-12,-14.39,-6.7,7,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2020-03-13,15.59,7.24,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2020-03-16,-15.4,-7.17,7,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2020-03-18,-12.39,-5.77,4,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2020-03-24,14.02,6.52,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2022-11-09,-19.1,-8.89,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BBDC4",2024-02-07,-17.32,-8.07,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BBDC4",2025-05-08,14.53,6.75,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BBAS3",2020-03-09,-11.7,-5.23,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-12,-14.17,-6.33,7,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-13,15.5,6.9,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-16,-18.26,-8.16,7,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-18,-18.04,-8.06,4,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-24,15.81,7.03,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-25,11.33,5.04,2,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-04-24,-14.35,-6.41,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BBAS3",2020-04-28,12.6,5.6,2,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2021-02-22,-12.38,-5.53,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BBAS3",2025-05-16,-13.57,-6.06,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"SANB11",2020-03-09,-10.44,-5.02,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"SANB11",2020-03-12,-14.47,-6.96,7,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"SANB11",2020-03-13,11.74,5.62,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"SANB11",2020-03-16,-12.72,-6.12,7,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"SANB11",2020-03-24,12.58,6.02,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"SANB11",2020-04-28,10.85,5.19,2,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAC11",2019-08-23,-16.48,-6.09,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BPAC11",2019-08-26,-20.43,-7.54,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BPAC11",2019-08-27,16.02,5.83,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
