"receptor","emissor","theta_pct","mesmo_controle","ambos_grande","par_id"
"BBDC4","ITUB4",21.5522912850276,1,1,"BBDC4-ITUB4"
"BBAS3","ITUB4",15.2531835393636,0,1,"BBAS3-ITUB4"
"SANB11","ITUB4",13.9821136160186,0,1,"ITUB4-SANB11"
"BPAC11","ITUB4",13.5689372620776,0,1,"BPAC11-ITUB4"
"BRSR6","ITUB4",8.13076267838341,0,0,"BRSR6-ITUB4"
"ABCB4","ITUB4",9.88870125153321,0,0,"ABCB4-ITUB4"
"ITUB4","BBDC4",20.4884202672168,1,1,"BBDC4-ITUB4"
"BBAS3","BBDC4",12.9162259360488,0,1,"BBAS3-BBDC4"
"SANB11","BBDC4",13.2507871458777,0,1,"BBDC4-SANB11"
"BPAC11","BBDC4",10.0166145031815,0,1,"BBDC4-BPAC11"
"BRSR6","BBDC4",6.6944315884586,0,0,"BBDC4-BRSR6"
"ABCB4","BBDC4",7.26620994277265,0,0,"ABCB4-BBDC4"
"ITUB4","BBAS3",10.9695701098456,0,1,"BBAS3-ITUB4"
"BBDC4","BBAS3",10.5352939140393,0,1,"BBAS3-BBDC4"
"SANB11","BBAS3",9.0565174190432,0,1,"BBAS3-SANB11"
"BPAC11","BBAS3",7.8689992377715,0,1,"BBAS3-BPAC11"
"BRSR6","BBAS3",6.21955119717687,0,0,"BBAS3-BRSR6"
"ABCB4","BBAS3",5.89269907871973,0,0,"ABCB4-BBAS3"
"ITUB4","SANB11",9.4849366720818,0,1,"ITUB4-SANB11"
"BBDC4","SANB11",10.5766646580195,0,1,"BBDC4-SANB11"
"BBAS3","SANB11",9.25003848346831,0,1,"BBAS3-SANB11"
"BPAC11","SANB11",5.9149776492538,0,1,"BPAC11-SANB11"
"BRSR6","SANB11",5.41935767839626,0,0,"BRSR6-SANB11"
"ABCB4","SANB11",4.35368025422782,1,0,"ABCB4-SANB11"
"ITUB4","BPAC11",9.5443170003788,0,1,"BPAC11-ITUB4"
"BBDC4","BPAC11",7.35389803105313,0,1,"BBDC4-BPAC11"
"BBAS3","BPAC11",7.41354320052675,0,1,"BBAS3-BPAC11"
"SANB11","BPAC11",6.73544610821964,0,1,"BPAC11-SANB11"
"BRSR6","BPAC11",3.26685230690034,0,0,"BPAC11-BRSR6"
"ABCB4","BPAC11",8.37316752796511,0,0,"ABCB4-BPAC11"
"ITUB4","BRSR6",2.86364101344127,0,0,"BRSR6-ITUB4"
"BBDC4","BRSR6",3.07481370213564,0,0,"BBDC4-BRSR6"
"BBAS3","BRSR6",3.76492380061489,0,0,"BBAS3-BRSR6"
"SANB11","BRSR6",3.59714487466608,0,0,"BRSR6-SANB11"
"BPAC11","BRSR6",1.68659232483879,0,0,"BPAC11-BRSR6"
"ABCB4","BRSR6",2.29189851610473,0,0,"ABCB4-BRSR6"
"ITUB4","ABCB4",5.00123083181549,0,0,"ABCB4-ITUB4"
"BBDC4","ABCB4",4.07863731901417,0,0,"ABCB4-BBDC4"
"BBAS3","ABCB4",4.0673549007916,0,0,"ABCB4-BBAS3"
"SANB11","ABCB4",2.96593027409766,1,0,"ABCB4-SANB11"
"BPAC11","ABCB4",5.2396349743217,0,0,"ABCB4-BPAC11"
"BRSR6","ABCB4",3.40221578311351,0,0,"ABCB4-BRSR6"
