"data","TCI","W"
2018-05-14,28.4531268985115,"W = 150"
2018-05-15,29.2281658034916,"W = 150"
2018-05-16,29.1303487652174,"W = 150"
2018-05-17,29.1074986442338,"W = 150"
2018-05-18,31.3743027038374,"W = 150"
2018-05-21,31.6671874599283,"W = 150"
2018-05-22,32.1492481411944,"W = 150"
2018-05-23,32.7073497416845,"W = 150"
2018-05-24,33.4547256818447,"W = 150"
2018-05-25,33.0047221664071,"W = 150"
2018-05-28,32.4171528412138,"W = 150"
2018-05-29,31.9085811497025,"W = 150"
2018-05-30,31.2290614383332,"W = 150"
2018-06-01,32.1630399295427,"W = 150"
2018-06-04,32.3345315202403,"W = 150"
2018-06-05,33.5848821539707,"W = 150"
2018-06-06,34.2338496574925,"W = 150"
2018-06-07,39.6065654543782,"W = 150"
2018-06-08,40.402944780428,"W = 150"
2018-06-11,41.3666969307739,"W = 150"
2018-06-12,40.7278605769467,"W = 150"
2018-06-13,41.2659180528945,"W = 150"
2018-06-14,40.6871578601679,"W = 150"
2018-06-15,41.017354577531,"W = 150"
2018-06-18,41.0269849762366,"W = 150"
2018-06-19,42.6251439544183,"W = 150"
2018-06-20,43.5217442722926,"W = 150"
2018-06-21,43.0494574462644,"W = 150"
2018-06-22,43.569904488188,"W = 150"
2018-06-25,44.0742845058997,"W = 150"
2018-06-26,44.3245575681932,"W = 150"
2018-06-27,43.9936641020487,"W = 150"
2018-06-28,43.4525645566424,"W = 150"
2018-06-29,43.5303056106326,"W = 150"
2018-07-02,43.4468536122502,"W = 150"
2018-07-03,43.9343596876686,"W = 150"
2018-07-04,44.1473507070958,"W = 150"
2018-07-05,45.6367812080581,"W = 150"
2018-07-06,45.7238030142972,"W = 150"
2018-07-10,45.3726620792192,"W = 150"
2018-07-11,44.7684694614125,"W = 150"
2018-07-12,44.7780851207015,"W = 150"
2018-07-13,44.25811203908,"W = 150"
2018-07-16,44.4456318136914,"W = 150"
2018-07-17,44.5095552172437,"W = 150"
2018-07-18,44.1169294609239,"W = 150"
2018-07-19,44.1803332192995,"W = 150"
2018-07-20,45.9012553105337,"W = 150"
2018-07-23,45.5035353291454,"W = 150"
2018-07-24,45.5225837891881,"W = 150"
2018-07-25,45.4497571861242,"W = 150"
2018-07-26,44.985919587622,"W = 150"
2018-07-27,45.6403426806342,"W = 150"
2018-07-30,45.7247165219939,"W = 150"
2018-07-31,45.1894407127565,"W = 150"
2018-08-01,44.4244246053333,"W = 150"
2018-08-02,43.679445670641,"W = 150"
2018-08-03,44.2289341603606,"W = 150"
2018-08-06,44.5586030711978,"W = 150"
2018-08-07,44.6790161384499,"W = 150"
2018-08-08,44.8342431963435,"W = 150"
2018-08-09,44.7805055374263,"W = 150"
2018-08-10,44.2131654989545,"W = 150"
2018-08-13,43.6625798136087,"W = 150"
2018-08-14,43.5566422678923,"W = 150"
2018-08-15,43.4157606960999,"W = 150"
2018-08-16,40.0886106833098,"W = 150"
2018-08-17,39.2040850991524,"W = 150"
2018-08-20,39.1891522780334,"W = 150"
2018-08-21,39.757108149482,"W = 150"
2018-08-22,39.301655120904,"W = 150"
2018-08-23,39.0840600747521,"W = 150"
2018-08-24,39.7166411834059,"W = 150"
2018-08-27,39.0774920386146,"W = 150"
2018-08-28,39.9360069928709,"W = 150"
2018-08-29,39.8727224597692,"W = 150"
2018-08-30,39.7759611565139,"W = 150"
2018-08-31,39.4627721022631,"W = 150"
2018-09-03,39.6776534973753,"W = 150"
2018-09-04,39.771131963825,"W = 150"
2018-09-05,39.9303540973675,"W = 150"
2018-09-06,39.153849552483,"W = 150"
2018-09-10,39.231127947521,"W = 150"
2018-09-11,38.9701175243181,"W = 150"
2018-09-12,38.7346843933179,"W = 150"
2018-09-13,38.7771206426974,"W = 150"
2018-09-14,38.365388545569,"W = 150"
2018-09-17,38.0322917512836,"W = 150"
2018-09-18,38.3212276370803,"W = 150"
2018-09-19,39.0681494816512,"W = 150"
2018-09-20,39.3285265353784,"W = 150"
2018-09-21,39.9359786913577,"W = 150"
2018-09-24,40.4221107544394,"W = 150"
2018-09-25,39.9157281566717,"W = 150"
2018-09-26,40.0239514731208,"W = 150"
2018-09-27,40.2045805061581,"W = 150"
2018-09-28,40.2799365969303,"W = 150"
2018-10-01,40.2359569928932,"W = 150"
2018-10-02,39.9464854142838,"W = 150"
2018-10-03,43.0985946493601,"W = 150"
2018-10-04,42.8018440160413,"W = 150"
2018-10-05,41.9214436913492,"W = 150"
