"kappa1","kappa2","loglik","loglik_rel","peso_post"
0.995,0.99,-8487.92678874224,0,1
1,0.99,-8583.8100475669,-95.8832588246587,2.28259985609088e-42
0.99,0.99,-8702.41679587544,-214.490007133203,7.04974614403224e-94
0.94,0.94,-23329.9425802315,-14842.0157914892,0
0.96,0.94,-17968.5910470528,-9480.66425831053,0
0.98,0.94,-13780.021111383,-5292.09432264072,0
0.99,0.94,-12039.7307255407,-3551.80393679845,0
0.995,0.94,-11552.8672076321,-3064.94041888984,0
1,0.94,-11411.644707641,-2923.71791889878,0
0.94,0.96,-18898.0146310958,-10410.0878423536,0
0.96,0.96,-14777.31469312,-6289.38790437773,0
0.98,0.96,-11798.4695334457,-3310.54274470347,0
0.99,0.96,-10643.4694626707,-2155.54267392843,0
0.995,0.96,-10284.0998436765,-1796.17305493424,0
1,0.96,-10283.8936237305,-1795.96683498827,0
0.94,0.99,-14527.3006413366,-6039.37385259433,0
0.96,0.99,-11513.9187340192,-3025.99194527694,0
0.98,0.99,-9413.83402439874,-925.907235656507,0
