"banco","data","retorno","z_score","n_bancos_na_data","classificacao"
"ITUB4",2020-03-12,-10.34,-5.67,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ITUB4",2020-03-13,10.49,5.71,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ITUB4",2020-03-16,-9.65,-5.29,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ITUB4",2020-03-24,9.21,5.01,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2020-03-12,-14.39,-6.51,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2020-03-13,15.59,7.05,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2020-03-16,-15.4,-6.96,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2020-03-18,-12.39,-5.6,4,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2020-03-24,14.02,6.34,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBDC4",2022-11-09,-19.1,-8.63,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BBDC4",2024-02-07,-17.32,-7.83,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BBDC4",2025-05-08,14.53,6.57,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BBAS3",2020-03-09,-11.7,-5.28,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-12,-14.17,-6.39,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-13,15.5,6.97,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-16,-18.26,-8.23,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-18,-18.04,-8.13,4,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-24,15.81,7.11,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-03-25,11.33,5.09,2,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2020-04-24,-14.35,-6.47,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BBAS3",2020-04-28,12.6,5.66,2,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BBAS3",2021-02-22,-12.38,-5.58,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BBAS3",2025-05-16,-13.57,-6.12,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"SANB11",2020-03-09,-10.44,-5.02,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"SANB11",2020-03-12,-14.47,-6.95,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"SANB11",2020-03-13,11.74,5.64,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"SANB11",2020-03-16,-12.72,-6.11,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"SANB11",2020-03-24,12.58,6.05,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"SANB11",2020-04-28,10.85,5.22,2,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAC11",2019-08-23,-16.48,-5.7,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BPAC11",2019-08-26,-20.43,-7.06,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BPAC11",2019-08-27,16.02,5.45,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BPAC11",2020-03-09,-19.93,-6.89,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAC11",2020-03-12,-31.28,-10.78,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAC11",2020-03-13,24.6,8.4,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAC11",2020-03-16,-16.79,-5.81,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAC11",2020-03-24,22.17,7.56,5,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BRSR6",2020-03-09,-14.71,-7.04,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BRSR6",2020-03-10,13.98,6.7,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BRSR6",2020-03-12,-13.78,-6.59,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BRSR6",2020-03-16,-10.98,-5.25,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BRSR6",2020-03-18,-15.47,-7.4,4,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ABCB4",2020-03-09,-11.28,-5.63,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ABCB4",2020-03-12,-12.07,-6.02,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ABCB4",2020-03-16,-16.21,-8.08,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ABCB4",2020-03-18,-14.66,-7.31,4,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"ABCB4",2020-03-25,15.77,7.82,2,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAN4",2019-05-22,20.96,5.66,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
"BPAN4",2020-03-09,-21.54,-5.87,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAN4",2020-03-12,-41.01,-11.15,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAN4",2020-03-13,38.05,10.3,6,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAN4",2020-03-16,-19.31,-5.27,8,"Sistêmico (>=2 bancos na data) — manter sem checagem adicional"
"BPAN4",2020-06-03,19.09,5.16,1,"ISOLADO (1 banco na data) — verificar em fonte externa"
