"banco","data","retorno","z_score"
"ITUB4",2020-03-12,-10.34,-5.67
"ITUB4",2020-03-13,10.49,5.71
"ITUB4",2020-03-16,-9.65,-5.29
"ITUB4",2020-03-24,9.21,5.01
"BBDC4",2020-03-12,-14.39,-6.51
"BBDC4",2020-03-13,15.59,7.05
"BBDC4",2020-03-16,-15.4,-6.96
"BBDC4",2020-03-18,-12.39,-5.6
"BBDC4",2020-03-24,14.02,6.34
"BBDC4",2022-11-09,-19.1,-8.63
"BBDC4",2024-02-07,-17.32,-7.83
"BBDC4",2025-05-08,14.53,6.57
"BBAS3",2020-03-09,-11.7,-5.28
"BBAS3",2020-03-12,-14.17,-6.39
"BBAS3",2020-03-13,15.5,6.97
"BBAS3",2020-03-16,-18.26,-8.23
"BBAS3",2020-03-18,-18.04,-8.13
"BBAS3",2020-03-24,15.81,7.11
"BBAS3",2020-03-25,11.33,5.09
"BBAS3",2020-04-24,-14.35,-6.47
"BBAS3",2020-04-28,12.6,5.66
"BBAS3",2021-02-22,-12.38,-5.58
"BBAS3",2025-05-16,-13.57,-6.12
"SANB11",2020-03-09,-10.44,-5.02
"SANB11",2020-03-12,-14.47,-6.95
"SANB11",2020-03-13,11.74,5.64
"SANB11",2020-03-16,-12.72,-6.11
"SANB11",2020-03-24,12.58,6.05
"SANB11",2020-04-28,10.85,5.22
"BPAC11",2019-08-23,-16.48,-5.7
"BPAC11",2019-08-26,-20.43,-7.06
"BPAC11",2019-08-27,16.02,5.45
"BPAC11",2020-03-09,-19.93,-6.89
"BPAC11",2020-03-12,-31.28,-10.78
"BPAC11",2020-03-13,24.6,8.4
"BPAC11",2020-03-16,-16.79,-5.81
"BPAC11",2020-03-24,22.17,7.56
"BRSR6",2020-03-09,-14.71,-7.04
"BRSR6",2020-03-10,13.98,6.7
"BRSR6",2020-03-12,-13.78,-6.59
"BRSR6",2020-03-16,-10.98,-5.25
"BRSR6",2020-03-18,-15.47,-7.4
"ABCB4",2020-03-09,-11.28,-5.63
"ABCB4",2020-03-12,-12.07,-6.02
"ABCB4",2020-03-16,-16.21,-8.08
"ABCB4",2020-03-18,-14.66,-7.31
"ABCB4",2020-03-25,15.77,7.82
"BPAN4",2019-05-22,20.96,5.66
"BPAN4",2020-03-09,-21.54,-5.87
"BPAN4",2020-03-12,-41.01,-11.15
"BPAN4",2020-03-13,38.05,10.3
"BPAN4",2020-03-16,-19.31,-5.27
"BPAN4",2020-06-03,19.09,5.16
