"","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4","BPAN4","FROM"
"ITUB4","38.73","11.55"," 6.16","18.83"," 7.81"," 4.14","10.43"," 2.35","61.27"
"BBDC4","16.43","41.47"," 4.36","17.93"," 4.94"," 3.35"," 9.75"," 1.76","58.53"
"BBAS3","10.77"," 7.03","48.84"," 9.62"," 7.39"," 8.55"," 7.00"," 0.79","51.16"
"SANB11","15.40"," 6.73"," 5.60","49.19"," 5.32"," 5.57"," 8.84"," 3.36","50.81"
"BPAC11","11.21"," 4.11"," 4.85","10.73","49.54"," 3.00"," 8.97"," 7.58","50.46"
"BRSR6"," 7.90"," 6.08"," 6.84","10.75"," 4.70","51.82","10.52"," 1.39","48.18"
"ABCB4","12.65"," 7.57"," 4.95"," 9.80"," 7.15"," 5.28","48.17"," 4.43","51.83"
"BPAN4"," 5.78"," 3.11"," 3.61"," 8.10"," 3.93"," 1.44"," 4.60","69.43","30.57"
"TO"," 80.15"," 46.17"," 36.38"," 85.76"," 41.24"," 31.33"," 60.12"," 21.66","402.81"
"Inc.Own","118.87"," 87.65"," 85.22","134.95"," 90.78"," 83.15","108.30"," 91.09","cTCI/TCI"
"NET"," 18.87","-12.35","-14.78"," 34.95"," -9.22","-16.85","  8.30"," -8.91","57.54/50.35"
"NPT","6.00","3.00","1.00","7.00","3.00","2.00","5.00","1.00",""
