"receptor","emissor","theta_pct","mesmo_controle","ambos_grande","par_id"
"BBDC4","ITUB4",19.1650714559423,1,1,"BBDC4-ITUB4"
"BBAS3","ITUB4",13.7915726828005,0,1,"BBAS3-ITUB4"
"SANB11","ITUB4",15.0333130141267,0,1,"ITUB4-SANB11"
"BPAC11","ITUB4",13.00181169547,0,1,"BPAC11-ITUB4"
"BRSR6","ITUB4",7.92002639563686,0,0,"BRSR6-ITUB4"
"ABCB4","ITUB4",8.83812974092942,0,0,"ABCB4-ITUB4"
"BPAN4","ITUB4",7.07384021669785,0,0,"BPAN4-ITUB4"
"ITUB4","BBDC4",17.7595412138912,1,1,"BBDC4-ITUB4"
"BBAS3","BBDC4",11.2206644225038,0,1,"BBAS3-BBDC4"
"SANB11","BBDC4",13.8320946745949,0,1,"BBDC4-SANB11"
"BPAC11","BBDC4",9.4610574101171,0,1,"BBDC4-BPAC11"
"BRSR6","BBDC4",6.01071018831265,0,0,"BBDC4-BRSR6"
"ABCB4","BBDC4",6.62262779220689,0,0,"ABCB4-BBDC4"
"BPAN4","BBDC4",4.8164692353963,0,0,"BBDC4-BPAN4"
"ITUB4","BBAS3",9.15445070347927,0,1,"BBAS3-ITUB4"
"BBDC4","BBAS3",8.80907048299538,0,1,"BBAS3-BBDC4"
"SANB11","BBAS3",8.77620295034184,0,1,"BBAS3-SANB11"
"BPAC11","BBAS3",7.92908074137559,0,1,"BBAS3-BPAC11"
"BRSR6","BBAS3",4.7137236903213,0,0,"BBAS3-BRSR6"
"ABCB4","BBAS3",5.13818785708915,0,0,"ABCB4-BBAS3"
"BPAN4","BBAS3",3.6528461871057,0,0,"BBAS3-BPAN4"
"ITUB4","SANB11",12.2303303981701,0,1,"ITUB4-SANB11"
"BBDC4","SANB11",12.7432675037694,0,1,"BBDC4-SANB11"
"BBAS3","SANB11",11.1740759494035,0,1,"BBAS3-SANB11"
"BPAC11","SANB11",8.43177893626788,0,1,"BPAC11-SANB11"
"BRSR6","SANB11",6.10681389446138,0,0,"BRSR6-SANB11"
"ABCB4","SANB11",5.2491827807845,1,0,"ABCB4-SANB11"
"BPAN4","SANB11",5.54500328671975,0,0,"BPAN4-SANB11"
"ITUB4","BPAC11",10.7872467043695,0,1,"BPAC11-ITUB4"
"BBDC4","BPAC11",8.66873715186299,0,1,"BBDC4-BPAC11"
"BBAS3","BPAC11",9.83960526286728,0,1,"BBAS3-BPAC11"
"SANB11","BPAC11",7.92343016933093,0,1,"BPAC11-SANB11"
"BRSR6","BPAC11",4.83423034156761,0,0,"BPAC11-BRSR6"
"ABCB4","BPAC11",8.88935775924202,0,0,"ABCB4-BPAC11"
"BPAN4","BPAC11",11.1036507679418,1,0,"BPAC11-BPAN4"
"ITUB4","BRSR6",2.46422511365783,0,0,"BRSR6-ITUB4"
"BBDC4","BRSR6",2.55743869548728,0,0,"BBDC4-BRSR6"
"BBAS3","BRSR6",2.5273144204004,0,0,"BBAS3-BRSR6"
"SANB11","BRSR6",2.7771801703025,0,0,"BRSR6-SANB11"
"BPAC11","BRSR6",1.89916023212544,0,0,"BPAC11-BRSR6"
"ABCB4","BRSR6",2.03507318927065,0,0,"ABCB4-BRSR6"
"BPAN4","BRSR6",1.60816463605599,0,0,"BPAN4-BRSR6"
"ITUB4","ABCB4",4.64242986491028,0,0,"ABCB4-ITUB4"
"BBDC4","ABCB4",3.87114041809925,0,0,"ABCB4-BBDC4"
"BBAS3","ABCB4",3.68822878352457,0,0,"ABCB4-BBAS3"
"SANB11","ABCB4",3.03006712265025,1,0,"ABCB4-SANB11"
"BPAC11","ABCB4",4.95310648112922,0,0,"ABCB4-BPAC11"
"BRSR6","ABCB4",3.19253902507881,0,0,"ABCB4-BRSR6"
"BPAN4","ABCB4",3.75862683311514,0,0,"ABCB4-BPAN4"
"ITUB4","BPAN4",5.13277130410113,0,0,"BPAN4-ITUB4"
"BBDC4","BPAN4",4.09408732518949,0,0,"BBDC4-BPAN4"
"BBAS3","BPAN4",3.61533126046165,0,0,"BBAS3-BPAN4"
"SANB11","BPAN4",4.22783913116326,0,0,"BPAN4-SANB11"
"BPAC11","BPAN4",7.98759290330007,1,0,"BPAC11-BPAN4"
"BRSR6","BPAN4",2.54599162445999,0,0,"BPAN4-BRSR6"
"ABCB4","BPAN4",4.19181594881324,0,0,"ABCB4-BPAN4"
