"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4","BPAN4"
2019-02-01,-2.64941949715593,-2.46486781224931,-2.45310334216683,-2.3984649110403,-2.20291343735589,-2.34535902403975,-2.81050312621598,-2.28651167472026
2019-02-04,-2.64619414549021,-2.44350456348776,-2.43772547141279,-2.38616071836274,-2.2155163673878,-2.38288477723272,-2.80091351815797,-2.22298826286653
2019-02-05,-2.57418212905974,-2.46380138600226,-2.48887885724775,-2.38254201546259,-2.22719411057425,-2.38699738658996,-2.79274922401157,-2.15391699946098
2019-02-06,-2.56545457451966,-2.42881563515176,-2.46514120964772,-2.36254265747988,-2.23623171753561,-2.41981239319966,-2.72711152440757,-2.08075682037555
2019-02-07,-2.55823186136269,-2.43974790783352,-2.43167780154702,-2.38977984961542,-2.24848227342207,-2.40611568982119,-2.69928944088524,-2.00464325099205
2019-02-08,-2.5525333765612,-2.41654134025568,-2.40932665951189,-2.39874993286391,-2.19022794317731,-2.31733094262528,-2.68201279063441,-1.9264782199447
2019-02-11,-2.5533005532709,-2.42001583952061,-2.41241004320457,-2.39587926306034,-2.1891842772498,-2.30727976995233,-2.62750494476895,-1.8470013966591
2019-02-12,-2.5302900158943,-2.39543815663769,-2.38154350551327,-2.38547246145078,-2.18384490043083,-2.23142686698204,-2.60950223434168,-1.76684869509026
2019-02-13,-2.51748434415239,-2.39012832229961,-2.35753618787892,-2.36876272170309,-2.17066059733508,-2.22406851016644,-2.62478179443168,-1.68660257097978
2019-02-14,-2.47431999077416,-2.3262997720819,-2.28473949831579,-2.35937687016503,-2.15732134366539,-2.21431760174629,-2.58086159205599,-1.60683809086579
2019-02-15,-2.4783121324917,-2.32265982089293,-2.27753069029188,-2.35070643658393,-2.17734674973679,-2.21968921346906,-2.61808284418737,-1.52816841664794
2019-02-18,-2.48120975049667,-2.30948764779531,-2.27143074913274,-2.35002538833558,-2.13260991999379,-2.21009608616538,-2.60947160770857,-1.41645838881441
2019-02-19,-2.4651565289059,-2.3054911375409,-2.25005427426303,-2.33665262471574,-2.15909256861483,-2.21791139190413,-2.63519736296377,-1.32702988674959
2019-02-20,-2.45057397084587,-2.30421627941274,-2.23118688665169,-2.33533374498745,-2.15366779551277,-2.21063990351795,-2.62430155403281,-1.3067618686678
2019-02-21,-2.44074421208814,-2.30451201786926,-2.23052348151925,-2.32309307507251,-2.13586672566733,-2.20847477097408,-2.61866020349353,-1.3068430375732
2019-02-22,-2.44348415358887,-2.28739843771729,-2.2296139111142,-2.32383608111328,-2.13108217279026,-2.23317329680086,-2.61351104156646,-1.30680016597534
2019-02-25,-2.44394881990493,-2.28710527094187,-2.22440705098407,-2.30868413952054,-2.15887051904765,-2.22702766593411,-2.60272181403343,-1.3124037824475
2019-02-26,-2.47418037702537,-2.30548714249648,-2.26124746729053,-2.33936064754514,-2.20773714168876,-2.21343649577934,-2.60446043344549,-1.31522591150317
2019-02-27,-2.47668162588145,-2.30763666087227,-2.27406282548981,-2.35072783604697,-2.14938579147001,-2.20811602183735,-2.61609695825915,-1.28441099467407
2019-02-28,-2.50070092258596,-2.32501317444931,-2.27544824263365,-2.46684440023688,-2.14510588403246,-2.23012429650849,-2.61456307631328,-1.28466260445731
2019-03-01,-2.52435431077745,-2.43428568797636,-2.30169301937734,-2.46288744200754,-2.14698205243258,-2.22783658976407,-2.61049847746234,-1.28071948858202
2019-03-06,-2.53124281574143,-2.43987587302796,-2.29160994104341,-2.45545692316784,-2.13194545633738,-2.23670212284138,-2.54628746506115,-1.27868147440529
2019-03-07,-2.54757671132154,-2.4780885118831,-2.32189243176492,-2.46898698883327,-2.15020963680374,-2.24441320111665,-2.55715546588043,-1.27382590962383
2019-03-08,-2.63759962151668,-2.46486482318164,-2.30238754264411,-2.47681637145728,-2.1449226042578,-2.22732525205903,-2.47517450013948,-1.26487085248783
2019-03-11,-2.64839249867656,-2.49617853627867,-2.33200806933907,-2.49071202130411,-2.11232111406403,-2.21168060286398,-2.4767988236114,-1.2594305040668
2019-03-12,-2.67975559247309,-2.51968293840129,-2.38566128996679,-2.51431374661816,-2.13718917087915,-2.18861451343678,-2.48693851339392,-1.27418242217559
2019-03-13,-2.68398046782073,-2.53956692395582,-2.40086000871106,-2.49040165552206,-2.19106778218518,-2.22848117974772,-2.49243506813698,-1.33951067843908
2019-03-14,-2.67510324826757,-2.54570337690064,-2.397202872157,-2.49776840176447,-2.19324551010983,-2.24390968367531,-2.53451039384415,-1.34835951826239
2019-03-15,-2.68897722699624,-2.58449745546927,-2.42848811434307,-2.49123801999055,-2.19073826117504,-2.329073946458,-2.556354443763,-1.35675671505187
2019-03-18,-2.70469262159364,-2.59420240584046,-2.46068397649896,-2.52595970956787,-2.19459880847313,-2.36552661350562,-2.54017914614519,-1.4376803563027
2019-03-19,-2.79348091696007,-2.72441123187224,-2.56990766785836,-2.57374974552946,-2.20558841292991,-2.38023603418639,-2.57180630517811,-1.46842188366231
2019-03-20,-2.79427869289045,-2.71396774208809,-2.57815521886566,-2.57924344331102,-2.20440387871873,-2.37997603291552,-2.55770834098275,-1.49509256444066
2019-03-21,-2.74063094274504,-2.68318131251354,-2.55913911961315,-2.52730662776289,-2.21661848911504,-2.34853545281546,-2.55208925970302,-1.61378073250115
2019-03-22,-2.71690078319719,-2.63510380640038,-2.54156646262052,-2.47397023540781,-2.22529937077965,-2.32643869838034,-2.54659418684901,-1.76888675544722
2019-03-25,-2.71625391789642,-2.62369274710395,-2.52861321073381,-2.47870984527458,-2.15673481926431,-2.31778344935889,-2.55227927825265,-1.8843852725315
2019-03-26,-2.71230468571415,-2.61663087235398,-2.46994165569913,-2.47524310226983,-2.1766162163224,-2.33409844249813,-2.53370568581253,-1.86948866023821
2019-03-27,-2.68484452916878,-2.61381603039233,-2.45211133521638,-2.42480014148011,-2.16627711298679,-2.31488964168771,-2.52955171528384,-1.8697660932446
2019-03-28,-2.6147232125375,-2.5479198385864,-2.39968439006028,-2.38329295293517,-2.15612171871033,-2.28098768021496,-2.49598343092642,-1.86665321215895
2019-03-29,-2.58369092693444,-2.53569754334257,-2.38148043456874,-2.3650329231232,-2.1398908966683,-2.27076524915439,-2.4296575896737,-1.86207643926973
2019-04-01,-2.56941854518504,-2.49880337450995,-2.36905247693997,-2.35708517511719,-2.21418210411804,-2.26949602718748,-2.43113827219621,-1.96438744928598
2019-04-02,-2.56855502783058,-2.45379557015074,-2.37007805102053,-2.34288308349163,-2.22510746336393,-2.26472828115062,-2.4320860924767,-1.98566701297415
2019-04-03,-2.54726516167467,-2.43459091083588,-2.34311153619465,-2.32916141202639,-2.20483751374959,-2.26220618002782,-2.42767503788661,-2.01227531692824
2019-04-04,-2.5273433662355,-2.41031639804221,-2.34111463178621,-2.30404607854627,-2.15550298233119,-2.26385374647516,-2.45770563345894,-2.02687681363498
2019-04-05,-2.52632557484867,-2.40233476063149,-2.33783853381267,-2.29598230813151,-2.15776202662479,-2.26927338254877,-2.43940869740097,-2.04060680615875
2019-04-08,-2.5501301171727,-2.41853033464799,-2.37421444356706,-2.30779187298178,-2.16170971419532,-2.30225758343543,-2.51505791778019,-2.09268770041133
2019-04-09,-2.54800794461802,-2.41230254810151,-2.36785787152978,-2.29917016809615,-2.18896482521987,-2.3372307035968,-2.54465750070493,-2.13546079976589
2019-04-10,-2.54235450695146,-2.42016535505053,-2.37845622305898,-2.29622412024459,-2.19344441966276,-2.39380231508141,-2.55748652065866,-2.14037449096907
2019-04-11,-2.54015552256231,-2.4112510942176,-2.39174657094883,-2.31390355970862,-2.20432804886653,-2.39871065378318,-2.55578550200528,-2.16505457984017
2019-04-12,-2.4985655315546,-2.3809831226707,-2.2947097690535,-2.29181473075307,-2.18204180047803,-2.35098041099087,-2.51174695253018,-2.16034879326703
2019-04-15,-2.49566236537077,-2.37210280361862,-2.27061066386186,-2.3005388876818,-2.1974102589205,-2.35522040007681,-2.49716527137887,-2.12103483414727
2019-04-16,-2.46769801624656,-2.36425374090455,-2.24904136483095,-2.2770746503412,-2.204593821685,-2.34119237757649,-2.49070806971061,-2.14900881471589
