"kappa1","kappa2","loglik","loglik_rel","peso_post"
0.995,0.99,-8269.03972854578,0,1
1,0.99,-8333.25995560604,-64.2202270602556,1.28679617460009e-28
0.99,0.99,-8534.41536769095,-265.37563914517,5.60821026136138e-116
0.94,0.94,-26872.4735840168,-18603.4338554711,0
0.96,0.94,-19748.9345367403,-11479.8948081945,0
0.98,0.94,-14269.0245431535,-5999.98481460769,0
0.99,0.94,-12343.0198368612,-4073.98010831538,0
0.995,0.94,-11750.4022082964,-3481.36247975064,0
1,0.94,-11547.4831358622,-3278.44340731646,0
0.94,0.96,-20958.1460334288,-12689.1063048831,0
0.96,0.96,-15771.6627709338,-7502.62304238806,0
0.98,0.96,-12071.2255049379,-3802.18577639217,0
0.99,0.96,-10721.4487699844,-2452.40904143861,0
0.995,0.96,-10273.1089537835,-2004.0692252377,0
1,0.96,-10234.6989036684,-1965.65917512264,0
0.94,0.99,-15514.1274582576,-7245.08772971185,0
0.96,0.99,-11873.1836647922,-3604.14393624643,0
0.98,0.99,-9364.08392045401,-1095.04419190823,0
