"","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4","FROM"
"ITUB4","35.65","18.43","15.81","10.85"," 2.49"," 7.41"," 9.35","64.35"
"BBDC4","20.01","36.61","14.21","11.52"," 2.13"," 6.56"," 8.97","63.39"
"BBAS3","16.92","14.65","38.11"," 8.72"," 2.29","10.62"," 8.69","61.89"
"SANB11","14.81","12.06","11.06","43.83"," 2.09"," 7.90"," 8.26","56.17"
"BPAC11"," 4.10"," 3.05"," 3.17"," 4.47","78.23"," 2.19"," 4.78","21.77"
"BRSR6","10.16"," 9.87","12.06"," 7.70"," 2.05","50.39"," 7.77","49.61"
"ABCB4","12.75","11.01","10.90"," 7.78"," 3.64"," 6.83","47.09","52.91"
"TO"," 78.75"," 69.06"," 67.20"," 51.04"," 14.68"," 41.52"," 47.83","370.09"
"Inc.Own","114.41","105.67","105.31"," 94.87"," 92.91"," 91.91"," 94.92","cTCI/TCI"
"NET","14.41"," 5.67"," 5.31","-5.13","-7.09","-8.09","-5.08","61.68/52.87"
"NPT","6.00","5.00","4.00","1.00","0.00","2.00","3.00",""
