"banco","data","retorno","z_score"
"ITUB4",2016-03-17,10.37,5.39
"ITUB4",2017-05-18,-12.84,-6.72
"ITUB4",2020-03-12,-10.34,-5.42
"ITUB4",2020-03-13,10.49,5.45
"ITUB4",2020-03-16,-9.65,-5.06
"ITUB4",2021-10-04,-19.8,-10.36
"BBDC4",2016-03-17,12.25,5.57
"BBDC4",2016-04-14,-11.19,-5.12
"BBDC4",2017-05-18,-14.06,-6.43
"BBDC4",2020-03-12,-14.39,-6.58
"BBDC4",2020-03-13,15.59,7.1
"BBDC4",2020-03-16,-15.4,-7.04
"BBDC4",2020-03-18,-12.39,-5.67
"BBDC4",2020-03-24,14.02,6.38
"BBDC4",2022-11-09,-19.1,-8.73
"BBDC4",2024-02-07,-17.32,-7.92
"BBDC4",2025-05-08,14.53,6.62
"BBAS3",2016-03-15,-23.79,-9.32
"BBAS3",2016-03-17,13.43,5.24
"BBAS3",2017-05-18,-22.2,-8.7
"BBAS3",2020-03-12,-14.17,-5.56
"BBAS3",2020-03-13,15.5,6.05
"BBAS3",2020-03-16,-18.26,-7.16
"BBAS3",2020-03-18,-18.04,-7.07
"BBAS3",2020-03-24,15.81,6.17
"BBAS3",2020-04-24,-14.35,-5.63
"BBAS3",2025-05-16,-13.57,-5.33
"SANB11",2014-04-29,14.65,6.88
"SANB11",2014-11-04,13.38,6.29
"SANB11",2017-05-18,-11.82,-5.6
"SANB11",2020-03-09,-11.35,-5.38
"SANB11",2020-03-12,-14.47,-6.85
"SANB11",2020-03-13,11.74,5.51
"SANB11",2020-03-16,-12.72,-6.03
"SANB11",2020-03-24,12.58,5.91
"SANB11",2020-04-28,10.69,5.02
"BPAC11",2019-08-23,-18.95,-6.92
"BPAC11",2019-08-26,-19.78,-7.22
"BPAC11",2019-08-27,16.53,5.95
"BPAC11",2020-03-09,-16.32,-5.97
"BPAC11",2020-03-12,-31.28,-11.4
"BPAC11",2020-03-13,24.6,8.88
"BPAC11",2020-03-16,-16.28,-5.95
"BPAC11",2020-03-23,-14.92,-5.46
"BPAC11",2020-03-24,22.2,8
"BRSR6",2014-08-13,12.82,5.26
"BRSR6",2017-01-26,13.29,5.46
"BRSR6",2017-05-18,-22.51,-9.29
"BRSR6",2020-03-09,-14.71,-6.08
"BRSR6",2020-03-10,13.98,5.74
"BRSR6",2020-03-12,-13.78,-5.7
"BRSR6",2020-03-18,-15.47,-6.39
"ABCB4",2016-01-04,20.17,9.89
"ABCB4",2016-03-03,11.12,5.44
"ABCB4",2017-05-18,-12.27,-6.06
"ABCB4",2020-03-09,-11.28,-5.57
"ABCB4",2020-03-12,-12.07,-5.96
"ABCB4",2020-03-16,-16.21,-8
"ABCB4",2020-03-18,-14.66,-7.24
"ABCB4",2020-03-25,15.77,7.73
