"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4"
2014-01-31,-2.65266122754666,-2.61642521240231,-2.52436274215045,-2.39611629165076,-2.44259755909014,-2.30066556482166,-2.55042605711263
2014-02-03,-2.62456386783525,-2.59537308586864,-2.49236862817832,-2.39708444298338,-2.44230174232938,-2.2615178523787,-2.56444964049222
2014-02-04,-2.47565936883238,-2.56419406258673,-2.46915696280678,-2.40842644896777,-2.44191459160152,-2.27667274603875,-2.56300266189995
2014-02-05,-2.46232777685326,-2.55350786522703,-2.45759784763291,-2.42566601071567,-2.44147378215144,-2.31299744104674,-2.54781531254897
2014-02-06,-2.43969146414665,-2.53601911209975,-2.41465461086377,-2.46003067822434,-2.44100681300043,-2.29726114179893,-2.54693872773679
2014-02-07,-2.42279942065648,-2.547397051588,-2.41524573502744,-2.44495381350454,-2.44051963697166,-2.33463504770702,-2.51983170674907
2014-02-10,-2.4185907035322,-2.54373771360585,-2.41853785961234,-2.44984886749968,-2.44001581791603,-2.36096986335839,-2.51338220871182
2014-02-11,-2.40867647160497,-2.54448873314456,-2.42092687581816,-2.44702888479224,-2.43949864333607,-2.35414703085448,-2.50956950083999
2014-02-12,-2.41030092001428,-2.54241354932077,-2.44124337974412,-2.44909857720508,-2.43897081392858,-2.28723167971078,-2.47960184743176
2014-02-13,-2.39364571279453,-2.52685126116561,-2.30116421437483,-2.46081686079967,-2.43843447787784,-2.28556677540227,-2.48484608784149
2014-02-14,-2.39030273527077,-2.53074223411537,-2.30029958653065,-2.46464437135349,-2.43789134766252,-2.23468570131308,-2.49168261732404
2014-02-17,-2.38392878169506,-2.5295472181231,-2.31242491245311,-2.44558631348249,-2.43734279102796,-2.24039386655646,-2.50442027140586
2014-02-18,-2.37379829459066,-2.51315529800575,-2.297507792718,-2.41762089215655,-2.43678990046384,-2.23486670725783,-2.52724975159981
2014-02-19,-2.35209532247421,-2.49556401373112,-2.27806394405892,-2.39853398246378,-2.43623354851791,-2.21814762870098,-2.49965968838917
2014-02-20,-2.33689785777199,-2.47491641522079,-2.25716370233956,-2.39382185290373,-2.43567443206596,-2.20295556842873,-2.49083161439098
2014-02-21,-2.38463835870871,-2.50387672717624,-2.26652127113682,-2.37943955711494,-2.4351131076822,-2.22491171560911,-2.47801253314313
2014-02-24,-2.40182794839014,-2.52675855124973,-2.25905774828639,-2.36342501975567,-2.43455001988656,-2.22609381996928,-2.46445728583714
2014-02-25,-2.42194979620601,-2.50231913562026,-2.26687123639974,-2.3559890784101,-2.43398552370439,-2.24733459087002,-2.49397722637462
2014-02-26,-2.43547188349333,-2.5145009203166,-2.28315226571616,-2.40582721421961,-2.43341990268428,-2.2518517601097,-2.49303059352073
2014-02-27,-2.44482707590028,-2.50964791929321,-2.29701645572201,-2.39101349940654,-2.43285338328833,-2.25123769217307,-2.52091727100333
2014-02-28,-2.44260033662496,-2.51601427463191,-2.27919217342526,-2.37410009380156,-2.43228614638536,-2.25554619618609,-2.43812820881148
2014-03-05,-2.45864642947944,-2.52577484949927,-2.29045888430833,-2.36189141443178,-2.43171833643008,-2.23818492795319,-2.3946791313191
2014-03-06,-2.45712289375129,-2.52676175890858,-2.31154024924833,-2.3479583182752,-2.43115006879436,-2.26813610217007,-2.3876559594167
2014-03-07,-2.5776654661186,-2.55293531117608,-2.32525057386642,-2.34708395181533,-2.43058143562239,-2.25899041328436,-2.39745790763509
2014-03-10,-2.57085192461303,-2.55373132943959,-2.33213407981508,-2.36248390187073,-2.43001251050708,-2.22692795689115,-2.40891218630437
2014-03-11,-2.58315673363046,-2.56056950018001,-2.31505863321477,-2.37817036648193,-2.42944335222501,-2.25617543989525,-2.40716016684451
2014-03-12,-2.60757024854362,-2.57013750427454,-2.25864536802715,-2.38790973690621,-2.42887400771931,-2.26875462751587,-2.43961237246056
2014-03-13,-2.60485686556458,-2.57324851453345,-2.27470399221547,-2.39051119224597,-2.42830451448215,-2.24051708745422,-2.40612980112328
2014-03-14,-2.58910469618911,-2.58378037737281,-2.27984902668955,-2.38282588537893,-2.42773490245744,-2.24930220883449,-2.38667790899507
2014-03-17,-2.59214132842184,-2.5794150651945,-2.27558929120495,-2.39524525086803,-2.4271651955605,-2.28017978143927,-2.40233163812125
2014-03-18,-2.58818052493348,-2.5908369449916,-2.37974631014039,-2.39973137513784,-2.42659541289184,-2.28448845951607,-2.40416499552483
2014-03-19,-2.59759587448671,-2.59048607391523,-2.36535605853184,-2.39473632646609,-2.42602556970649,-2.32570254209973,-2.35046352055749
2014-03-20,-2.58268741283818,-2.56974841285874,-2.33021405655762,-2.40270446019237,-2.42545567818817,-2.26450462698401,-2.33012907345072
2014-03-21,-2.56210685583895,-2.56881743208825,-2.28100048022185,-2.38396989652794,-2.42488574806771,-2.26227348455119,-2.27188720115805
2014-03-24,-2.55588709622228,-2.56453721538642,-2.28000664695696,-2.38434181512067,-2.42431578711682,-2.25811858810215,-2.27283476842322
2014-03-25,-2.56139874285471,-2.58512948604789,-2.29559946894769,-2.3780172923988,-2.42374580154255,-2.26212796177563,-2.28300030802128
2014-03-26,-2.53385941006716,-2.56880202065922,-2.27906274626796,-2.38815681253955,-2.42317579630229,-2.25853512144487,-2.28754013697005
2014-03-27,-2.51202893462661,-2.54663097784453,-2.2511459447405,-2.37081865097889,-2.42260577535538,-2.22929164939913,-2.28583053051299
2014-03-28,-2.51057528912923,-2.5753308604051,-2.22795572760671,-2.37604100620575,-2.422035741864,-2.2319715685386,-2.27240529324965
2014-03-31,-2.50142846276781,-2.57152896669675,-2.23802789322637,-2.36776525368963,-2.42146569835372,-2.21976480312117,-2.24794497626506
